format=v2.tables.scan.v1  Qwen3-1.7B, every table read word by word (bf16: sign bit 15, exponent bits 14..7, mantissa bits 6..0)
[B] 'any 0' read as: any value that reads 0.… ; ×(2×5) = times the whole table is multiplied until none does
table                                            shape          values       zeros   smallest        ×(2×5)  largest
model.layers.21.self_attn.v_proj.weight          1024x2048      2097152      0       166/2^34        9       178/2^9
model.layers.22.input_layernorm.weight           2048           2048         0       220/2^8         1       220/2^2
model.layers.22.mlp.down_proj.weight             2048x6144      12582912     0       165/2^37        9       152/2^7
model.layers.22.mlp.gate_proj.weight             6144x2048      12582912     0       149/2^37        9       186/2^8
model.layers.22.mlp.up_proj.weight               6144x2048      12582912     0       195/2^37        9       240/2^8
model.layers.22.post_attention_layernorm.weight  2048           2048         0       128/2^20        4       155/2^5
model.layers.22.self_attn.k_norm.weight          128            128          0       235/2^20        4       163/2^5
model.layers.22.self_attn.k_proj.weight          1024x2048      2097152      0       249/2^33        8       207/2^9
model.layers.22.self_attn.o_proj.weight          2048x2048      4194304      0       177/2^35        9       133/2^8
model.layers.22.self_attn.q_norm.weight          128            128          0       150/2^17        3       201/2^5
model.layers.22.self_attn.q_proj.weight          2048x2048      4194304      0       141/2^37        9       211/2^9
model.layers.22.self_attn.v_proj.weight          1024x2048      2097152      0       195/2^33        8       159/2^9
model.layers.23.input_layernorm.weight           2048           2048         0       215/2^21        4       149/2^1
model.layers.23.mlp.down_proj.weight             2048x6144      12582912     0       233/2^37        9       149/2^7
model.layers.23.mlp.gate_proj.weight             6144x2048      12582912     0       148/2^34        9       218/2^8
model.layers.23.mlp.up_proj.weight               6144x2048      12582912     0       172/2^36        9       198/2^8
model.layers.23.post_attention_layernorm.weight  2048           2048         0       177/2^21        5       166/2^5
model.layers.23.self_attn.k_norm.weight          128            128          0       204/2^19        4       144/2^4
model.layers.23.self_attn.k_proj.weight          1024x2048      2097152      0       158/2^34        9       197/2^9
model.layers.23.self_attn.o_proj.weight          2048x2048      4194304      0       133/2^32        8       203/2^9
model.layers.23.self_attn.q_norm.weight          128            128          0       226/2^16        3       164/2^6
model.layers.23.self_attn.q_proj.weight          2048x2048      4194304      0       148/2^33        8       227/2^9
model.layers.23.self_attn.v_proj.weight          1024x2048      2097152      0       177/2^36        9       173/2^9
model.layers.24.input_layernorm.weight           2048           2048         0       165/2^6         0       191/2^1
model.layers.24.mlp.down_proj.weight             2048x6144      12582912     0       217/2^39        10      137/2^7
model.layers.24.mlp.gate_proj.weight             6144x2048      12582912     0       247/2^34        8       223/2^8
model.layers.24.mlp.up_proj.weight               6144x2048      12582912     0       182/2^36        9       147/2^8
model.layers.24.post_attention_layernorm.weight  2048           2048         0       208/2^22        5       174/2^5
model.layers.24.self_attn.k_norm.weight          128            128          0       239/2^22        5       129/2^4
model.layers.24.self_attn.k_proj.weight          1024x2048      2097152      0       135/2^35        9       180/2^9
